c_function,c_signature,go_file,go_func,go_signature,is_c_public,notes
cellToLocalIj,"H3Error cellToLocalIj(H3Index origin, H3Index h3, uint32_t mode, CoordIJ *out)",localij__cellToLocalIj.go,cellToLocalIj,"func cellToLocalIj(origin H3Index, index H3Index, mode uint32, out *CoordIJ) H3Error",true,attr: localij.c
localIjToCell,"H3Error localIjToCell(H3Index origin, const CoordIJ *ij, uint32_t mode, H3Index *out)",localij__localIjToCell.go,localIjToCell,"func localIjToCell(origin H3Index, ij *CoordIJ, mode uint32, out *H3Index) H3Error",true,attr: localij.c
DIRECTIONS,(C-internal: algos.c),algos_constants.go,DIRECTIONS,var DIRECTIONS,false,kind: var
K_ALL_CELLS_AT_RES_15,(C-internal: algos.c),algos_constants.go,K_ALL_CELLS_AT_RES_15,const K_ALL_CELLS_AT_RES_15,false,kind: const
MAX_ONE_RING_SIZE,(C-internal: algos.c),algos_constants.go,MAX_ONE_RING_SIZE,const MAX_ONE_RING_SIZE,false,kind: const
NEXT_RING_DIRECTION,(C-internal: algos.c),algos_constants.go,NEXT_RING_DIRECTION,const NEXT_RING_DIRECTION,false,kind: const
POLYGON_TO_CELLS_BUFFER,(C-internal: algos.c),algos_constants.go,POLYGON_TO_CELLS_BUFFER,const POLYGON_TO_CELLS_BUFFER,false,kind: const
_getEdgeHexagons,(C-internal: algos.c),algos__getEdgeHexagons.go,_getEdgeHexagons,"func _getEdgeHexagons(geoloop []LatLng, numHexagons int64, res int32, numSearchHexes *int64, search []H3Index, found []H3Index) H3Error",false,kind: func
_gridDiskDistancesInternal,(C-internal: algos.c),algos__gridDiskDistancesInternal.go,_gridDiskDistancesInternal,"func _gridDiskDistancesInternal(origin H3Index, k int32, out []H3Index, distances []int32, maxIdx int64, curK int32) H3Error",false,kind: func
_gridRingInternal,(C-internal: algos.c),algos__gridRingInternal.go,_gridRingInternal,"func _gridRingInternal(origin H3Index, k int32, out []H3Index) H3Error",false,kind: func
_vertexGraphToLinkedGeo,(C-internal: algos.c),algos__vertexGraphToLinkedGeo.go,_vertexGraphToLinkedGeo,"func _vertexGraphToLinkedGeo(graph *VertexGraph, out *LinkedGeoPolygon)",false,kind: func
directionForNeighbor,(C-internal: algos.c),algos__directionForNeighbor.go,_directionForNeighbor,"func _directionForNeighbor(origin H3Index, destination H3Index) Direction",false,kind: func
h3NeighborRotations,(C-internal: algos.c),algos__h3NeighborRotations.go,h3NeighborRotations,"func h3NeighborRotations(origin H3Index, dir Direction, rotations *int32, out *H3Index) H3Error",false,kind: func
h3SetToVertexGraph,(C-internal: algos.c),algos_h3SetToVertexGraph.go,h3SetToVertexGraph,"func h3SetToVertexGraph(h3Set []H3Index, numHexes int32, graph *VertexGraph) H3Error",false,kind: func
_baseCellIsCwOffset,(C-internal: baseCells.c),baseCells__baseCellIsCwOffset.go,_baseCellIsCwOffset,"func _baseCellIsCwOffset(baseCell int32, testFace int32) bool",false,kind: func
_baseCellToCCWrot60,(C-internal: baseCells.c),baseCells__baseCellToCCWrot60.go,_baseCellToCCWrot60,"func _baseCellToCCWrot60(baseCell int32, face int32) int32",false,kind: func
_baseCellToFaceIjk,(C-internal: baseCells.c),baseCells__baseCellToFaceIjk.go,_baseCellToFaceIjk,"func _baseCellToFaceIjk(baseCell int32, h *FaceIJK)",false,kind: func
