c_function,c_signature,go_file,go_func,go_signature,is_c_public,notes
_setGeoRads,(C-internal: latLng.c),latLng__setGeoRads.go,_setGeoRads,"func _setGeoRads(p *LatLng, latRads, lngRads float64)",false,kind: func
constrainLat,(C-internal: latLng.c),latLng__constrainLat.go,constrainLat,func constrainLat(lat float64) float64,false,kind: func
constrainLng,(C-internal: latLng.c),latLng__constrainLng.go,constrainLng,func constrainLng(lng Angle) Angle,false,kind: func
geoAlmostEqual,(C-internal: latLng.c),latLng__geoAlmostEqual.go,geoAlmostEqual,"func geoAlmostEqual(p1, p2 *LatLng) bool",false,kind: func
geoAlmostEqualThreshold,(C-internal: latLng.c),latLng__geoAlmostEqualThreshold.go,geoAlmostEqualThreshold,"func geoAlmostEqualThreshold(p1, p2 *LatLng, threshold float64) bool",false,kind: func
normalizeLng,(C-internal: latLng.c),latLng__normalizeLng.go,normalizeLng,"func normalizeLng(lng Angle, normalization LongitudeNormalization) Angle",false,kind: func
setGeoDegs,(C-internal: latLng.c),latLng__setGeoDegs.go,setGeoDegs,"func setGeoDegs(p *LatLng, latDegs, lngDegs float64)",false,kind: func
triangleArea,(C-internal: latLng.c),latLng__triangleArea.go,triangleArea,"func triangleArea(a, b, c *LatLng) float64",false,kind: func
triangleEdgeLengthsToArea,(C-internal: latLng.c),latLng__triangleEdgeLengthsToArea.go,triangleEdgeLengthsToArea,"func triangleEdgeLengthsToArea(a, b, c float64) float64",false,kind: func
addLinkedCoord,(C-internal: linkedGeo.c),linkedGeo__addLinkedCoord.go,addLinkedCoord,"func addLinkedCoord(loop *LinkedGeoLoop, vertex *LatLng) *LinkedLatLng",false,kind: func
addLinkedLoop,(C-internal: linkedGeo.c),linkedGeo__addNewLinkedLoop.go,addLinkedLoop,"func addLinkedLoop(polygon *LinkedGeoPolygon, loop *LinkedGeoLoop) *LinkedGeoLoop",false,kind: func
addNewLinkedLoop,(C-internal: linkedGeo.c),linkedGeo__addNewLinkedLoop.go,addNewLinkedLoop,func addNewLinkedLoop(polygon *LinkedGeoPolygon) *LinkedGeoLoop,false,kind: func
addNewLinkedPolygon,(C-internal: linkedGeo.c),linkedGeo__addNewLinkedPolygon.go,addNewLinkedPolygon,func addNewLinkedPolygon(polygon *LinkedGeoPolygon) *LinkedGeoPolygon,false,kind: func
countContainers,(C-internal: linkedGeo.c),linkedGeo__countContainers.go,countContainers,"func countContainers(loop *LinkedGeoLoop, polygons []*LinkedGeoPolygon, bboxes []*BBox) int32",false,kind: func
countLinkedCoords,(C-internal: linkedGeo.c),linkedGeo__countLinkedCoords.go,countLinkedCoords,func countLinkedCoords(loop *LinkedGeoLoop) int32,false,kind: func
countLinkedLoops,(C-internal: linkedGeo.c),linkedGeo__countLinkedLoops.go,countLinkedLoops,func countLinkedLoops(polygon *LinkedGeoPolygon) int32,false,kind: func
countLinkedPolygons,(C-internal: linkedGeo.c),linkedGeo__countLinkedPolygons.go,countLinkedPolygons,func countLinkedPolygons(polygon *LinkedGeoPolygon) int32,false,kind: func
destroyLinkedGeoLoop,(C-internal: linkedGeo.c),linkedGeo_destroyLinkedGeoLoop.go,destroyLinkedGeoLoop,func destroyLinkedGeoLoop(loop *LinkedGeoLoop),false,kind: func
findDeepestContainer,(C-internal: linkedGeo.c),linkedGeo__findDeepestContainer.go,findDeepestContainer,"func findDeepestContainer(polygons []*LinkedGeoPolygon, bboxes []*BBox) *LinkedGeoPolygon",false,kind: func
findPolygonForHole,(C-internal: linkedGeo.c),linkedGeo__findPolygonForHole.go,findPolygonForHole,"func findPolygonForHole(loop *LinkedGeoLoop, polygon *LinkedGeoPolygon, bboxes []*BBox) *LinkedGeoPolygon",false,kind: func
normalizeMultiPolygon,(C-internal: linkedGeo.c),linkedGeo__normalizeMultiPolygon.go,normalizeMultiPolygon,func normalizeMultiPolygon(root *LinkedGeoPolygon) H3Error,false,kind: func
FAILED_DIRECTIONS,(C-internal: localij.c),localij_constants.go,FAILED_DIRECTIONS,var FAILED_DIRECTIONS,false,kind: var
PENTAGON_ROTATIONS,(C-internal: localij.c),localij_constants.go,PENTAGON_ROTATIONS,var PENTAGON_ROTATIONS,false,kind: var
PENTAGON_ROTATIONS_REVERSE,(C-internal: localij.c),localij_constants.go,PENTAGON_ROTATIONS_REVERSE,var PENTAGON_ROTATIONS_REVERSE,false,kind: var
PENTAGON_ROTATIONS_REVERSE_NONPOLAR,(C-internal: localij.c),localij_constants.go,PENTAGON_ROTATIONS_REVERSE_NONPOLAR,var PENTAGON_ROTATIONS_REVERSE_NONPOLAR,false,kind: var
PENTAGON_ROTATIONS_REVERSE_POLAR,(C-internal: localij.c),localij_constants.go,PENTAGON_ROTATIONS_REVERSE_POLAR,var PENTAGON_ROTATIONS_REVERSE_POLAR,false,kind: var
cellToLocalIjk,(C-internal: localij.c),localij__cellToLocalIjk.go,cellToLocalIjk,"func cellToLocalIjk(origin H3Index, h3 H3Index, out *CoordIJK) H3Error",false,kind: func
cubeRound,(C-internal: localij.c),localij__cubeRound.go,cubeRound,"func cubeRound(i, j, k float64, ijk *CoordIJK)",false,kind: func
localIjkToCell,(C-internal: localij.c),localij_localijktocell.go,localIjkToCell,"func localIjkToCell(origin H3Index, ijk *CoordIJK, out *H3Index) H3Error",false,kind: func
_ipow,(C-internal: mathExtensions.c),mathExtensions__ipow.go,_ipow,"func _ipow(base int64, exp int64) int64",false,kind: func
ADD_INT32S_OVERFLOWS,(C-internal: mathExtensions.h),mathExtensions__overflowChecking.go,addInt32sOverflows,"func addInt32sOverflows(a, b int32) bool",false,kind: func
SUB_INT32S_OVERFLOWS,(C-internal: mathExtensions.h),mathExtensions__overflowChecking.go,subInt32sOverflows,"func subInt32sOverflows(a, b int32) bool",false,kind: func
CELL_SCALE_FACTOR,(C-internal: polyfill.c),polyfill_constants.go,CELL_SCALE_FACTOR,const CELL_SCALE_FACTOR,false,kind: const
CHILD_SCALE_FACTOR,(C-internal: polyfill.c),polyfill_constants.go,CHILD_SCALE_FACTOR,const CHILD_SCALE_FACTOR,false,kind: const
MAX_EDGE_LENGTH_RADS,(C-internal: polyfill.c),polyfill_constants.go,MAX_EDGE_LENGTH_RADS,var MAX_EDGE_LENGTH_RADS,false,kind: var
MAX_SIZE_CELL_THRESHOLD,(C-internal: polyfill.c),polyfill_constants.go,MAX_SIZE_CELL_THRESHOLD,const MAX_SIZE_CELL_THRESHOLD,false,kind: const
NORTH_POLE_CELLS,(C-internal: polyfill.c),polyfill_constants.go,NORTH_POLE_CELLS,var NORTH_POLE_CELLS,false,kind: var
RES0_BBOXES,(C-internal: polyfill.c),polyfill_constants.go,RES0_BBOXES,var RES0_BBOXES,false,kind: var
SOUTH_POLE_CELLS,(C-internal: polyfill.c),polyfill_constants.go,SOUTH_POLE_CELLS,var SOUTH_POLE_CELLS,false,kind: var
VALID_RANGE_BBOX,(C-internal: polyfill.c),polyfill_constants.go,VALID_RANGE_BBOX,var VALID_RANGE_BBOX,false,kind: var
_iterInitPolygonCompact,(C-internal: polyfill.c),polyfill_polygonToCellsExperimental.go,initIterPolygonCompact,"func initIterPolygonCompact(polygon *GeoPolygon, res int32, flags uint32) IterCellsPolygonCompact",false,kind: func
baseCellNumToCell,(C-internal: polyfill.c),polyfill__baseCellNumToCell.go,baseCellNumToCell,func baseCellNumToCell(baseCellNum int32) H3Index,false,kind: func
cellToBBox,(C-internal: polyfill.c),polyfill_cellToBBox.go,cellToBBox,"func cellToBBox(cell H3Index, coverChildren bool) (BBox, H3Error)",false,kind: func
iterDestroyPolygon,(C-internal: polyfill.c),polyfill_polygonToCellsExperimental.go,iterDestroyPolygon,func iterDestroyPolygon(iter *IterCellsPolygon),false,kind: func
iterDestroyPolygonCompact,(C-internal: polyfill.c),polyfill_polygonToCellsExperimental.go,iterDestroyPolygonCompact,func iterDestroyPolygonCompact(iter *IterCellsPolygonCompact),false,kind: func
iterInitPolygon,(C-internal: polyfill.c),polyfill_polygonToCellsExperimental.go,iterInitPolygon,"func iterInitPolygon(polygon *GeoPolygon, res int32, flags uint32) IterCellsPolygon",false,kind: func
iterInitPolygonCompact,(C-internal: polyfill.c),polyfill_polygonToCellsExperimental.go,iterInitPolygonCompact,"func iterInitPolygonCompact(polygon *GeoPolygon, res int32, flags uint32) IterCellsPolygonCompact",false,kind: func
iterStepPolygon,(C-internal: polyfill.c),polyfill_polygonToCellsExperimental.go,iterStepPolygon,func iterStepPolygon(iter *IterCellsPolygon),false,kind: func
iterStepPolygonCompact,(C-internal: polyfill.c),polyfill_polygonToCellsExperimental.go,iterStepPolygonCompact,func iterStepPolygonCompact(iter *IterCellsPolygonCompact),false,kind: func
nextCell,(C-internal: polyfill.c),polyfill_polygonToCellsExperimental.go,nextCell,func nextCell(cell H3Index) H3Index,false,kind: func
bboxFromGeoLoop,(C-internal: polygon.c),polygon__bboxFromGeoLoop.go,bboxFromGeoLoop,"func bboxFromGeoLoop(loop []LatLng, bbox *BBox)",false,kind: func
bboxesFromGeoPolygon,(C-internal: polygon.c),polygon__bboxesFromGeoPolygon.go,bboxesFromGeoPolygon,"func bboxesFromGeoPolygon(polygon *GeoPolygon, bboxes []BBox)",false,kind: func
cellBoundaryCrossesGeoLoop,(C-internal: polygon.c),polygon__cellBoundaryCrossesGeoLoop.go,cellBoundaryCrossesGeoLoop,"func cellBoundaryCrossesGeoLoop(geoloop GeoLoop, loopBBox *BBox, boundary *CellBoundary, boundaryBBox *BBox) bool",false,kind: func
cellBoundaryCrossesPolygon,(C-internal: polygon.c),polygon__cellBoundaryCrossesPolygon.go,cellBoundaryCrossesPolygon,"func cellBoundaryCrossesPolygon(poly GeoPolygon, bboxes []BBox, boundary *CellBoundary, boundaryBBox *BBox) bool",false,kind: func
cellBoundaryInsidePolygon,(C-internal: polygon.c),polygon__cellBoundaryInsidePolygon.go,cellBoundaryInsidePolygon,"func cellBoundaryInsidePolygon(poly GeoPolygon, bboxes []BBox, boundary *CellBoundary, boundaryBBox *BBox) bool",false,kind: func
lineCrossesLine,(C-internal: polygon.c),polygon__lineCrossesLine.go,lineCrossesLine,"func lineCrossesLine(a1, a2, b1, b2 *LatLng) bool",false,kind: func
pointInsideGeoLoop,(C-internal: polygon.c),polygon__pointInsideGeoLoop.go,pointInsideGeoLoop,"func pointInsideGeoLoop(loop []LatLng, bbox *BBox, coord *LatLng) bool",false,kind: func
pointInsidePolygon,(C-internal: polygon.c),polygon__pointInsidePolygon.go,pointInsidePolygon,"func pointInsidePolygon(poly GeoPolygon, bboxes []BBox, coord *LatLng) bool",false,kind: func
validatePolygonFlags,(C-internal: polygon.c),polygon__validatePolygonFlags.go,validatePolygonFlags,func validatePolygonFlags(flags uint32) H3Error,false,kind: func
GENERIC_LOOP_ALGO(bboxFrom),(C-internal: polygonAlgos.h),linkedGeo__bboxFromLinkedGeoLoop.go,bboxFromLinkedGeoLoop,"func bboxFromLinkedGeoLoop(loop *LinkedGeoLoop, bbox *BBox)",false,kind: func
GENERIC_LOOP_ALGO(isClockwise),(C-internal: polygonAlgos.h),polygon__isClockwiseGeoLoop.go,isClockwiseGeoLoop,func isClockwiseGeoLoop(loop GeoLoop) bool,false,kind: func
GENERIC_LOOP_ALGO(isClockwise),(C-internal: polygonAlgos.h),linkedGeo__isClockwiseLinkedGeoLoop.go,isClockwiseLinkedGeoLoop,func isClockwiseLinkedGeoLoop(loop *LinkedGeoLoop) bool,false,kind: func
GENERIC_LOOP_ALGO(isClockwiseNormalized),(C-internal: polygonAlgos.h),polygon__isClockwiseGeoLoop.go,isClockwiseGeoLoopNormalized,"func isClockwiseGeoLoopNormalized(loop GeoLoop, isTransmeridian bool) bool",false,kind: func
GENERIC_LOOP_ALGO(isClockwiseNormalized),(C-internal: polygonAlgos.h),linkedGeo__isClockwiseLinkedGeoLoop.go,isClockwiseLinkedGeoLoopNormalized,"func isClockwiseLinkedGeoLoopNormalized(loop *LinkedGeoLoop, isTransmeridian bool) bool",false,kind: func
GENERIC_LOOP_ALGO(pointInside),(C-internal: polygonAlgos.h),linkedGeo__pointInsideLinkedGeoLoop.go,pointInsideLinkedGeoLoop,"func pointInsideLinkedGeoLoop(loop *LinkedGeoLoop, bbox *BBox, coord *LatLng) bool",false,kind: func
bboxPrint,(C-internal: utility.c),utility_bboxPrint.go,bboxPrint,func bboxPrint(bbox *BBox),false,kind: func
bboxPrintln,(C-internal: utility.c),utility_bboxPrintln.go,bboxPrintln,func bboxPrintln(bbox *BBox),false,kind: func
cellBoundaryPrint,(C-internal: utility.c),utility_cellBoundaryPrint.go,cellBoundaryPrint,func cellBoundaryPrint(b *CellBoundary),false,kind: func
cellBoundaryPrintln,(C-internal: utility.c),utility_cellBoundaryPrintln.go,cellBoundaryPrintln,func cellBoundaryPrintln(b *CellBoundary),false,kind: func
coordIjkPrint,(C-internal: utility.c),utility_coordIjkPrint.go,coordIjkPrint,func coordIjkPrint(c *CoordIJK),false,kind: func
geoPrint,(C-internal: utility.c),utility_geoPrint.go,geoPrint,func geoPrint(p *LatLng),false,kind: func
geoPrintNoFmt,(C-internal: utility.c),utility_geoPrintNoFmt.go,geoPrintNoFmt,func geoPrintNoFmt(p *LatLng),false,kind: func
geoPrintln,(C-internal: utility.c),utility_geoPrintln.go,geoPrintln,func geoPrintln(p *LatLng),false,kind: func
geoPrintlnNoFmt,(C-internal: utility.c),utility_geoPrintlnNoFmt.go,geoPrintlnNoFmt,func geoPrintlnNoFmt(p *LatLng),false,kind: func
geoToStringDegs,(C-internal: utility.c),utility_geoToStringDegs.go,geoToStringDegs,func geoToStringDegs(p *LatLng) string,false,kind: func
geoToStringDegsNoFmt,(C-internal: utility.c),utility_geoToStringDegsNoFmt.go,geoToStringDegsNoFmt,func geoToStringDegsNoFmt(p *LatLng) string,false,kind: func
geoToStringRads,(C-internal: utility.c),utility_geoToStringRads.go,geoToStringRads,func geoToStringRads(p *LatLng) string,false,kind: func
h3Print,(C-internal: utility.c),utility_h3Print.go,h3Print,func h3Print(h H3Index),false,kind: func
h3Println,(C-internal: utility.c),utility_h3Println.go,h3Println,func h3Println(h H3Index),false,kind: func
iterateAllIndexesAtRes,(C-internal: utility.c),utility__iterateAllIndexesAtRes.go,_iterateAllIndexesAtRes,"func _iterateAllIndexesAtRes(res int32, callback func(H3Index))",false,kind: func
iterateAllIndexesAtResPartial,(C-internal: utility.c),utility__iterateAllIndexesAtResPartial.go,_iterateAllIndexesAtResPartial,"func _iterateAllIndexesAtResPartial(res int32, callback func(H3Index), baseCells int32)",false,kind: func
iterateBaseCellIndexesAtRes,(C-internal: utility.c),utility__iterateBaseCellIndexesAtRes.go,_iterateBaseCellIndexesAtRes,"func _iterateBaseCellIndexesAtRes(res int32, callback func(H3Index), baseCell int32)",false,kind: func
BUFF_SIZE,(C-internal: utility.h),utility_constants.go,BUFF_SIZE,const BUFF_SIZE,false,kind: const
_v2dAlmostEquals,(C-internal: vec2d.c),vec2d__v2dAlmostEquals.go,_v2dAlmostEquals,"func _v2dAlmostEquals(v1, v2 *Vec2d) bool",false,kind: func
_v2dIntersect,(C-internal: vec2d.c),vec2d__v2dIntersect.go,_v2dIntersect,"func _v2dIntersect(p0, p1, p2, p3 *Vec2d) Vec2d",false,kind: func
_v2dMag,(C-internal: vec2d.c),vec2d__v2dMag.go,_v2dMag,func _v2dMag(v *Vec2d) float64,false,kind: func
_geoToVec3d,(C-internal: vec3d.c),vec3d__geoToVec3d.go,_geoToVec3d,"func _geoToVec3d(geo *LatLng, v *Vec3d)",false,kind: func
_pointSquareDist,(C-internal: vec3d.c),vec3d__pointSquareDist.go,_pointSquareDist,"func _pointSquareDist(v1, v2 *Vec3d) float64",false,kind: func
_square,(C-internal: vec3d.c),vec3d__square.go,_square,func _square(x float64) float64,false,kind: func
DIRECTIONS,(C-internal: vertex.c),vertex_constants.go,directions,var directions,false,kind: var
DIRECTION_INDEX_OFFSET,(C-internal: vertex.c),vertex_constants.go,DIRECTION_INDEX_OFFSET,const DIRECTION_INDEX_OFFSET,false,kind: const
directionForVertexNum,(C-internal: vertex.c),vertex__directionForVertexNum.go,directionForVertexNum,"func directionForVertexNum(origin H3Index, vertexNum int32) Direction",false,kind: func
directionToVertexNumHex,(C-internal: vertex.c),vertex_constants.go,directionToVertexNumHex,var directionToVertexNumHex,false,kind: var
directionToVertexNumPent,(C-internal: vertex.c),vertex_constants.go,directionToVertexNumPent,var directionToVertexNumPent,false,kind: var
pentagonDirectionFaces,(C-internal: vertex.c),vertex_constants.go,pentagonDirectionFaces,var pentagonDirectionFaces,false,kind: var
revNeighborDirectionsHex,(C-internal: vertex.c),vertex_constants.go,revNeighborDirectionsHex,var revNeighborDirectionsHex,false,kind: var
vertexNumForDirection,(C-internal: vertex.c),vertex__vertexNumForDirection.go,vertexNumForDirection,"func vertexNumForDirection(origin H3Index, direction Direction) int32",false,kind: func
vertexNumToDirectionHex,(C-internal: vertex.c),vertex_constants.go,vertexNumToDirectionHex,var vertexNumToDirectionHex,false,kind: var
vertexNumToDirectionPent,(C-internal: vertex.c),vertex_constants.go,vertexNumToDirectionPent,var vertexNumToDirectionPent,false,kind: var
vertexRotations,(C-internal: vertex.c),vertex__vertexRotations.go,vertexRotations,"func vertexRotations(cell H3Index, out *int32) H3Error",false,kind: func
INVALID_VERTEX_NUM,(C-internal: vertex.h),vertex_constants.go,INVALID_VERTEX_NUM,const INVALID_VERTEX_NUM,false,kind: const
PentagonDirectionFaces,(C-internal: vertex.h),vertex_constants.go,PentagonDirectionFaces,type PentagonDirectionFaces struct {,false,kind: type
_hashVertex,(C-internal: vertexGraph.c),vertexGraph__hashVertex.go,_hashVertex,"func _hashVertex(vertex *LatLng, res int32, numBuckets int32) uint32",false,kind: func
_initVertexNode,(C-internal: vertexGraph.c),vertexGraph__initVertexNode.go,_initVertexNode,"func _initVertexNode(node *VertexNode, fromVtx *LatLng, toVtx *LatLng)",false,kind: func
addVertexNode,(C-internal: vertexGraph.c),vertexGraph_addVertexNode.go,addVertexNode,"func addVertexNode(graph *VertexGraph, fromVtx *LatLng, toVtx *LatLng) *VertexNode",false,kind: func
destroyVertexGraph,(C-internal: vertexGraph.c),vertexGraph_destroyVertexGraph.go,destroyVertexGraph,func destroyVertexGraph(graph *VertexGraph),false,kind: func
findNodeForEdge,(C-internal: vertexGraph.c),vertexGraph_findNodeForEdge.go,findNodeForEdge,"func findNodeForEdge(graph *VertexGraph, fromVtx *LatLng, toVtx *LatLng) *VertexNode",false,kind: func
findNodeForVertex,(C-internal: vertexGraph.c),vertexGraph_findNodeForVertex.go,findNodeForVertex,"func findNodeForVertex(graph *VertexGraph, fromVtx *LatLng) *VertexNode",false,kind: func
firstVertexNode,(C-internal: vertexGraph.c),vertexGraph_firstVertexNode.go,firstVertexNode,func firstVertexNode(graph *VertexGraph) *VertexNode,false,kind: func
initVertexGraph,(C-internal: vertexGraph.c),vertexGraph__initVertexGraph.go,initVertexGraph,"func initVertexGraph(graph *VertexGraph, numBuckets int32, res int32)",false,kind: func
removeVertexNode,(C-internal: vertexGraph.c),vertexGraph_removeVertexNode.go,removeVertexNode,"func removeVertexNode(graph *VertexGraph, node *VertexNode) int32",false,kind: func
