file,layer,package,build_tags,attributions,h3_c_api_refs,exported_decls
localij__localIjToCell_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
localij_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
localij_constants.go,ported-impl,h3,"-",5,0,0
localij_gridDistanceExhaustive_test.go,ported-internal-test,h3,"-",0,0,-
localij_gridDistance_test.go,ported-internal-test,h3,"-",0,0,-
localij_gridPathCells.go,ported-impl,h3,"-",1,0,0
localij_gridPathCellsExhaustive_test.go,ported-internal-test,h3,"-",0,0,-
localij_gridPathCells_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
localij_gridPathCells_test.go,ported-internal-test,h3,"-",0,0,-
localij_localijktocell.go,ported-impl,h3,"-",1,0,0
localij_localijktocell_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
mathExtensions__ipow.go,ported-impl,h3,"-",1,0,0
mathExtensions__ipow_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
mathExtensions__overflowChecking.go,ported-impl,h3,"-",2,0,0
mathExtensions__overflowChecking_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
