file,layer,package,build_tags,attributions,h3_c_api_refs,exported_decls
directedEdge_directedEdgeToBoundary_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
doc.go,public-api,h3,"-",0,1,0
edge.go,public-api,h3,"-",0,10,1
errors.go,public-api,h3,"-",0,0,19
errors_test.go,public-api-test,h3,"-",0,0,-
example_test.go,public-api-test,h3_test,"-",0,0,-
faceijk__adjustOverageClassII.go,ported-impl,h3,"-",1,0,0
faceijk__adjustOverageClassII_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
faceijk__adjustOverageClassII_test.go,ported-internal-test,h3,"cgo && c2go",0,0,-
faceijk__adjustPentVertOverage.go,ported-impl,h3,"-",1,0,0
faceijk__adjustPentVertOverage_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
faceijk__faceIjkPentToCellBoundary.go,ported-impl,h3,"-",1,0,0
faceijk__faceIjkPentToCellBoundary_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
faceijk__faceIjkPentToVerts.go,ported-impl,h3,"-",1,0,0
faceijk__faceIjkPentToVerts_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
faceijk__faceIjkToCellBoundary.go,ported-impl,h3,"-",1,0,0
faceijk__faceIjkToCellBoundary_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
faceijk__faceIjkToGeo.go,ported-impl,h3,"-",1,0,0
faceijk__faceIjkToGeo_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
faceijk__faceIjkToVerts.go,ported-impl,h3,"-",1,0,0
faceijk__faceIjkToVerts_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
faceijk__geoToClosestFace.go,ported-impl,h3,"-",1,0,0
faceijk__geoToClosestFace_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
faceijk__geoToFaceIjk.go,ported-impl,h3,"-",1,0,0
faceijk__geoToHex2d.go,ported-impl,h3,"-",1,0,0
faceijk__geoToHex2d_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
faceijk__hex2dToGeo.go,ported-impl,h3,"-",1,0,0
faceijk__hex2dToGeo_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
faceijk_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
faceijk_constants.go,ported-impl,h3,"-",3,0,0
faceijk_neighbors.go,ported-impl,h3,"-",1,0,0
faceijk_types.go,ported-impl,h3,"-",0,0,0
format.go,public-api,h3,"-",0,6,3
fuzz_test.go,public-api-test,h3,"-",0,0,-
h3api_constants.go,ported-impl,h3,"-",2,0,0
h3api_types.go,ported-public-types,h3,"-",0,0,5
h3index__bits_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__cellToBoundary.go,ported-impl,h3,"-",1,0,0
h3index__cellToBoundary_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__cellToCenterChild.go,ported-impl,h3,"-",1,0,0
h3index__cellToCenterChild_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__cellToChildPos.go,ported-impl,h3,"-",1,0,0
h3index__cellToChildPos_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__cellToChildren.go,ported-impl,h3,"-",1,0,0
h3index__cellToChildrenSize.go,ported-impl,h3,"-",1,0,0
h3index__cellToChildrenSize_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__cellToChildren_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__cellToLatLng.go,ported-impl,h3,"-",1,0,0
h3index__cellToLatLng_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__cellToParent.go,ported-impl,h3,"-",1,0,0
