source,role,source_sha256
CMakeLists.txt,target and installed binary registration,ce322e6e02a04e6242c74a053ee980c3586a85d1d178748fca438a41659218a3
src/apps/applib/include/args.h,argument parser contract,d13361da21cc4c47f2aab2fb5f8e15910c0d2b3831af6f0d16a26e9262b6a9fa
src/apps/applib/lib/args.c,argument parser implementation,f1a776ba76f033ef539720d9331f8a4f2913c67d02ef6cd5dfdb8263be3b45a5
src/apps/filters/h3.c,"commands, formats, I/O, and exit behavior",3800164a3f4f33876045e6cfe755ba432c8a4c44ddc4541b68ca0268650549e4
